Commercial District,Address,City,State,Zip Code,Square Footage,Length of Vacancy,Ownership Type,Former Tenant/Current Business,Business for Sale,Leasing Activity,Recorded Owner,Leasing Contact,Coordinates for Mapping
Harvard Square,33 Brattle Street,Cambridge,Massachusetts,02138,,6-10 months,Real Estate Investment Trust (REIT),Flat Patties,,Leased pending occupancy,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charlotte, NC 28203",,POINT (-71.12069411699997 42.37363769800004)
Porter Sq-Lower Massachusetts Ave.,1906-1908 Massachusetts Avenue,Cambridge,Massachusetts,02140,1550,2-5 years,Trust,Rod Dee and Wok n' Roll,,Actively leasing,"PKH Properties, LLC, P.O. Box 621 Brookline, MA 02446","PadMatch Realty, Peter Grossi, (617) 435-9457",POINT (-71.12001417699997 42.38886246100003)
Harvard Square,84 Winthrop Street,Cambridge,Massachusetts,02138,,1-2 years,Trust,Tom's Bao Bao,,Unknown,"Crimsoan Galeria Limited Partnership, c/o Raj Dhanda, 1299 Beacon Street, Brookline, MA 02446",,POINT (-71.12089234899997 42.372135367000055)
Harvard Square,76A Mt. Auburn Street,Cambridge,Massachusetts,02138,,2-5 years,Nonprofit Corporation,Schoenhof's Foreign Books,,Actively leasing,"76 Mount Auburn Street, Inc. c/o Rick Childs, SRB Corp., 76 Mt. Auburn St., Cambridge, MA 02138","IRB, (617) 497-3300",POINT (-71.11868456999997 42.37192460800003)
North Massachusetts Ave.,2094 Massachusetts Avenue,Cambridge,Massachusetts,02140,2000,6-10 months,Trust,Redemption Tattoo,,Actively leasing,"Joseph A, Francis X., Anthony J., Marian L., and Maria C. Colannino c/o Riverside Management P.O. Box 440317 W. Somerville, MA 02144",(617) 428-9993,POINT (-71.12360079399997 42.39132196300005)
East Cambridge,357 Cambridge Street,Cambridge,Massachusetts,02141,,1-2 years,Trust,Legatt McCall,,Leased pending occupancy,"East Cambridge, LLC c/o Rob Hajier, 109 Ostrom Rd., East Falmouth, MA 02536",,POINT (-71.08199486999996 42.37151112500004)
North Massachusetts Ave.,2267 Massachusetts Ave,Cambridge,Massachusetts,02140,,6-10 months,Domestic Limited Liability Company (LLC),Benoit Real Estate,,Actively leasing,"GAP Cambridge Investments LLC, 20 Lantern Ln., Needham, MA 02492",617-444-8941,POINT (-71.12671341299995 42.394580973000075)
Harvard Square,43 Brattle Street,Cambridge,Massachusetts,02138,,6-10 months,Trust,Goorin Bros. Hat Shop,,Unknown,"John P. Digiovanni, trustee of 45 Brattle Street Realty Trust, P.O. Bon 380212, Cambridge, MA 02238",(617) 902-9346,POINT (-71.12099050099994 42.373989193000064)
Porter Sq-Lower Massachusetts Ave.,1699 Massachusetts Avenue,Cambridge,Massachusetts,02138,1324,1-2 years,Trust,New Space,,Actively leasing,"Lotus Harvard Enterprise, LLC, 1712 Massachusetts Ave., Cambridge, MA 02138","Compass, Shannah Hall Frackum, (617) 686-9996",POINT (-71.11923415699994 42.38308297100008)
Central Square,93 Windsor Street,Cambridge,Massachusetts,02139,,2-5 years,Trust,"Coffee Shop ""Brew on the Gird""""",,Leased pending occupancy,"Windsor Ninety Three LLC, 1495 Hancock Street, Quincy, MA 02169","District Real Estate Advisors. Contact: Christopher Mearn, 617-943-2272; Hana McLaren, 860-391-2017.",POINT (-71.09680921399996 42.36377747800003)
Harvard Square,1210 Massachusetts Avenue,Cambridge,Massachusetts,02138,,2-5 years,Real Estate Investment Trust (REIT),Oona's,,Unknown,"Cambridge Real Estate Company, LLC P.O. 400575 Cambridge, MA 02140","Shannah Hall, (617) 686-9996, shannah@compass.com",POINT (-71.11541502699998 42.37186190800003)
Central Square,114 Bishop Allen Drive,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),Training space,,Actively leasing,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459","CCAdvisors, 617-970-7232",POINT (-71.10317778399997 42.36607881400005)
Harvard Square,26 Brattle Street,Cambridge,Massachusetts,02138,,6-10 months,Trust,Dickson Bros. Hardware Co.,,For sale,"Edward P. Verplanck Tr. c/o Brattle Street Trust, 26 Brattle St., Cambridge, MA 02138",,POINT (-71.12041097699995 42.37313076000004)
Kendall Square,295 Third Street,Cambridge,Massachusetts,02142,,6-10 months,Real Estate Investment Trust (REIT),Barismo,,Actively leasing,"303 Third SPE LCC, P.O. Box 87407, Chicago, IL 60680","Cushman & Wakefield, (617) 204-4142",POINT (-71.08389479599998 42.36430419700009)
East Cambridge,20 Child Street,Cambridge,Massachusetts,02141,4418,5 years or more,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"PRII Twenty20 LLC c/o Prudential Real Estate Services, 7 Girala Farms, Madison, NJ 07940","Chris Mearn, (617) 595-544",POINT (-71.07187380599999 42.37138569000007)
Inman Square,212 Hampshire Street,Cambridge,Massachusetts,02139,,2-5 years,Trust,Ryles Jazz Club,,Under redevelopment,"Shree Manakamana LLC, 620 Cambridge Street, Cambridge MA 02141","Binoj Pradhan, (617) 501-7309",POINT (-71.10050244799999 42.373215962000074)
Harvard Square,1168 Massachusetts Avenue,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Unknown,,Actively leasing,"Augment Investments, LLC, 4 Trowbridge Place, Unit 2D, Cambridge, MA 02138",(617) 275-1854,POINT (-71.11484363299996 42.37136725000005)
Inman Square,1281 Cambridge Street,Cambridge,Massachusetts,02139,,6-10 months,Trust,Bukowski Tavern,,Actively leasing,"Kim H. Odence, tr. of 1281 Cambridge Realty Trust, 1281 Cambridge St., Cambridge, MA 02139-1202","Boston Restaurant Group, (978) 887-9895",POINT (-71.09877124899998 42.37368648100005)
East Cambridge,121 First Street,Cambridge,Massachusetts,02141,7000,2-5 years,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"Urban Spaces, LLC, 111 First Street, Cambridge, MA 02141","Adam Conviser, Conviser Property Group, 781-320-0600",POINT (-71.07811555799998 42.36684215400004)
Smaller Districts,699 Mt. Auburn Street,Cambridge,Massachusetts,02138,,2-5 years,Real Estate Investment Trust (REIT),Unknown,,Leased pending occupancy,"Equity One LLC, c/o Equity One, Inc., 1275 Powers Ferry. Suite 100, Marietta, GA 30067","KeyPoint Partners, Donald Mace, (781) 418-6243",POINT (-71.14918428999994 42.37536193900008)
Central Square,21 Prospect Street,Cambridge,Massachusetts,02139,,1-2 years,Real Estate Investment Trust (REIT),Soleil Tan and Spa,,Leased pending occupancy,"U.S. REIF Central Plaza Massachusetts LLC c/o Intercontinental Mgmt. Corporation 1270 Soldiers Field Rd. Boston, MA 02135","Boston Urban Partners, (617) 274-4900",POINT (-71.10375714099996 42.36611535900005)
Fresh Pond-Alewife,174 Alewife Brook Parkway,Cambridge,Massachusetts,02138,5100,1-2 years,Real Estate Investment Trust (REIT),Panera,,Leased pending occupancy,"The Fresh Pond Mall Limited Partnership, 545 Concord Ave, Cambridge, MA 02140","Vast Capital Management, (617) 491-4431",POINT (-71.14029662299998 42.39087558500006)
Smaller Districts,808 Memorial Drive,Cambridge,Massachusetts,02139,,1-2 years,Association,Lapel's Dry Cleaning,,Unknown,"808 Memorial Drive Association, 280 Franklin Street, Cambridge, MA 02139",,POINT (-71.11516030099995 42.36065157300005)
Central Square,425 Massachusetts Avenue,Cambridge,Massachusetts,02139,,6-10 months,Foreign Limited Liability Company (LLC),New Space,,Actively leasing,"Watermark Central Venture LLC c/o Twining Properties, 200 Park Avenue, 17th Floor, New York, NY 10166","graffitosp.com, (617) 401-2871",POINT (-71.10046053799994 42.36384143200008)
Kendall Square,145 Broadway,Cambridge,Massachusetts,02142,,6-10 months,Trust,New Space,,Actively leasing,"David Barrett, Edward H. Linde & Mortimer B. Zuckerman, trs. of Eleven  c/o Marvin F. Poer & Co. 3520 Piedmont Rd. NE, Suite 410, Atlanta, GA 30305","Boston Properties, Sydney Rodenstein, srodenstein@bxp.com",POINT (-71.08877658399996 42.36494491000008)
Harvard Square,25 Brattle Street,Cambridge,Massachusetts,02138,4000,5 years or more,Real Estate Investment Trust (REIT),Lululemon,,Leased pending occupancy,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charolette, NC 28203","CBRE New England, (617) 912-6861",POINT (-71.12069411699997 42.37363769800004)
Harvard Square,36 JFK Street,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Partnership (LP),The Hempest,,Unknown,"Trinity Realty Limited Partnership, P.O. Box 380212, Cambridge, MA 02138",(617) 354-0835,POINT (-71.11961754599997 42.372551110000074)
Smaller Districts,86 Kirkland Street,Cambridge,Massachusetts,02138,3011,5 years or more,Retail Condo,Kirkland Cleaners,,Actively leasing,"Pookadoodle, LLC. c/o Patricia, Birchem, 6 Cowdy Lane, Wakefield, MA 01880","Patricia Birchem
781-789-2937
patricia@parismanagement.com",POINT (-71.10787592399998 42.377830032000084)
Harvard Square,41 Brattle Street,Cambridge,Massachusetts,02138,,6-10 months,Real Estate Investment Trust (REIT),,,Actively leasing,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charlotte, NC 28203","CBRE, (617) 912-6861",POINT (-71.12091707599996 42.373834756000065)
Porter Sq-Lower Massachusetts Ave.,4 Hudson Street,Cambridge,Massachusetts,02138,2500,5 years or more,Trust,Rite-Way Dry Cleaners,,Actively leasing,"Nathaniel H. and ISA H. Swartz, c/o SWARTZ 1995 REVOC. Trust, 205 W. Vinegar Valley Rd. Friendsville, TN.","Roy Papalia, (617) 306-7797",POINT (-71.12010235499997 42.382104552000044)
Central Square,795 Main Street,Cambridge,Massachusetts,02139,,6-10 months,Unknown,Cuchi Chuchi,,Unknown,"John A. Pappas and William B. Pappas, trustees, c/o 805 Main St. LLC, 33 Church St., Cambridge, MA",,POINT (-71.09724364799996 42.36342527100004)
Smaller Districts,1001 Massachusetts Avenue,Cambridge,Massachusetts,02138,,1-2 years,Trust,O2 Yoga,,Actively leasing,"Richard Simon and William C Kaplan Trustees, 997 Mass Ave Nominee Trust, c/o Eastport Real Estate Services, 107 Audubon Rd. Suite 2-301, Wakefield, MA 01880","Compass, (617)-308-7736",POINT (-71.11130579899998 42.369591125000056)
East Cambridge,966 Cambridge Street,Cambridge,Massachusetts,02141,2339,2-5 years,Trust,Harvard Glass,,Leased pending occupancy,"Judith N Small and Melissa Small, The Jams Family Trust, 14 Back Nine Dr. Haverhill, MA 0183","ABG Commercial Advisors, (617) 492-9900",POINT (-71.09321170099997 42.37255228300006)
Smaller Districts,156 Rindge Avenue,Cambridge,Massachusetts,02140,,1-2 years,Individual,NOCA Provisions,,Actively leasing,"Susan H. Sullivan, 29 Banks St., Somerville, MA 02144","Robert Harris, info@nocaprovisions.com",POINT (-71.13083906999998 42.393270881000035)
Porter Sq-Lower Massachusetts Ave.,822 Somerville Avenue,Cambridge,Massachusetts,02138,2308,1-2 years,Real Estate Investment Trust (REIT),Sprint,,Actively leasing,"CPUS Porter Square, LP, P.O. Box 638, Addison, T.X. 75001","CBRE, (617) 912-6863",POINT (-71.11840610899998 42.38853925500007)
Kendall Square,249 Third Street,Cambridge,Massachusetts,02141,1369,6-10 months,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"EQR-249 THIRD ST LLC, Two North Riverside Plaza, Suite 400, Chicago, IL 60606","Boston Realty Advisors, 617-375-7900",POINT (-71.08210266199995 42.36678356400006)
Porter Sq-Lower Massachusetts Ave.,1792 Massachusetts Ave,Cambridge,Massachusetts,02138,,6-10 months,,Joie de Vivre,,Unknown,"Goldberg Weiner Realty LLC, 1798A Mass. Ave., Cambridge, MA 02140",,POINT (-71.11961561799995 42.385968483000056)
Central Square,605 Massachusetts Ave,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),Supercuts,,Actively leasing,"3MJ Associates, Inc. 563 Massachusetts Ave., Cambridge, MA 02139",Call Lena at 617-875-9080,POINT (-71.10292817099997 42.36520110300006)
East Cambridge,1036 Cambridge Street,Cambridge,Massachusetts,02141,,6-10 months,Domestic Limited Liability Company (LLC),Adoema Real Estate Services,,Actively leasing,"David Komessar, Saul Komessar, and Debra Magier tr. c/o 1030 Cambridge Street LLC, 2 Worcester St., Cambridge, MA 02139","CMS Partners, (617) 945-0009",POINT (-71.09433831199993 42.37264247300004)
Harvard Square,20 University Road,Cambridge,Massachusetts,02138,,6-10 months,,Legal Sea Foods,,Unknown,"Richard L. Friedman, John L. Hall III, 20 University Rd., Cambridge MA 02138",,POINT (-71.12365083399999 42.37229915000006)
Harvard Square,52 Brattle St,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),Tess,,Unkown,"RENMORE, LLC, 52 Brattle St., Cambridge, MA  02138",,POINT (-71.12208182499995 42.37431914700005)
Harvard Square,30 JFK Street,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Lush,,Unknown,"Waugh Building LLC c/o Rockmont Management Co., Inc, P.O. Box 440433, Somerville, MA 02145","(617) 776-764, info@rockmontmanagement.com",POINT (-71.11965811399995 42.37273228500004)
Central Square,645 Massachusetts Ave.,Cambridge,Massachusetts,02139,,6-10 months,Domestic Limited Liability Company (LLC),,,Actively leasing,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459","CCAdvisors, 617-970-7232",POINT (-71.10358120499995 42.36569022900006)
Harvard Square,49B Brattle St.,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Smoke Shop,,Unknown,"George Wyner Realty, Brattle Street, LLC, C/o Dana Myer & Sons, Inc., 1340 Centre St. #101, Newton, MA 02459",,POINT (-71.12144371099998 42.37420913400007)
Kendall Square,303 Third Street,Cambridge,Massachusetts,02142,,6-10 months,Real Estate Investment Trust (REIT),Abigail’s,,Actively leasing,"303 Third SPE LCC c/o EQR-R.E. Tax Department, P.O. Box 87407, Chicago, IL 60680","Boston Restaurant Group, (978) 887-9895",POINT (-71.08389479599998 42.36430419700009)
Fresh Pond-Alewife,88 CambridgePark Drive,Cambridge,Massachusetts,02138,1875,1-2 years,Real Estate Investment Trust (REIT),New Space,,Leased pending occupancy,"88 Cambridge Park Limited Partnership, 5847 San Felipe, Suite 3600, Houston, TX 77057","The Dartmouth Company, (617) 262-6620",POINT (-71.14290004199995 42.393077091000066)
Harvard Square,33 Church Street,Cambridge,Massachusetts,02138,1366,1-2 years,Trust,Starbucks,,Leased pending occupancy,"Janet A. Cahaly of JAC Cambridge Nominee Trust P.O. Box 590-104 Newton Center, MA 02459","Williamson Partners, Chris Williamson, (617) 680-1108",POINT (-71.12018785 42.37453083200006)
Harvard Square,1-23 JFK Street,Cambridge,Massachusetts,02138,,2-5 years,Real Estate Investment Trust (REIT),,,Under redevelopment,"Harvard Collection, LLC c/o Equity One, Inc. 410 Park Ave. Suite 1220, New York, NY 10022","Regency Centers Senior Leasing Agent: Davis Sherin, (610) 747-1212",POINT (-71.12003823299995 42.37316345000005)
Porter Sq-Lower Massachusetts Ave.,1691 Massachusetts Avenue,Cambridge,Massachusetts,02138,,6-10 months,Domestic Limited Liability Company (LLC),Utso Boutique,,Unknown,"1685 Mass Ave LLC, 626 Main St. Acton MA 01720","George F Harpell, Diane Poulos Harpell, (617) 547-7031",POINT (-71.11935393499994 42.382810308000046)
Harvard Square,1033 Massachusetts Avenue,Cambridge,Massachusetts,02138,,1-2 years,University,Basics Furniture,,Actively leasing,"Harvard University, Harvard Realty, Smith Campus Center, 1350 Massachusetts Ave., Cambridge, MA 02138",Leasing contact: 617.912.6879.,POINT (-71.11208514799995 42.36988247900007)
Harvard Square,One Brattle Square,Cambridge,Massachusetts,02138,2746,1-2 years,Real Estate Investment Trust (REIT),Chipotle,,Leased pending occupancy,"WELLS REIT One Brattle Square, I, LLC, c/o Thompson Property Tax Services, P.O. Box 56607, Atlanta, GA 3034","Atlantic Retail, James Bagley, 617-239-3642.",POINT (-71.12128512499999 42.37331403100006)
Harvard Square,104 Mt. Auburn Street,Cambridge,Massachusetts,02138,1378,5 years or more,Real Estate Investment Trust (REIT),Hair Cuttery,,Unknown,"Eliot Square Enterprises, Inc. 1270 Soldiers Field Rd. Brighton, MA 02135","Vantage Point Retail, Martin Benoit, (617) 877-5257",POINT (-71.12098035899999 42.372635474000056)
Porter Sq-Lower Massachusetts Ave.,1776 Massachusetts Avenue,Cambridge,Massachusetts,02138,1799,1-2 years,Condo,Muckykids Art Studios,,For sale,"Becs, LLC, 3 Lancaster Terrace, Cambridge, MA 02140","Barrett Sotheby's Realty, info@barrettsir.com",POINT (-71.11961687499996 42.385729850000075)
Smaller Districts,750 Memorial Drive,Cambridge,Massachusetts,02139,,1-2 years,Real Estate Investment Trust (REIT),Nadeau Furniture,,Actively leasing,"New Creek LLC, c/o KIMCO Realty Corp., 333 New Hyde Park Rd., Suite 100, New Hyde Park, NY 11042","Leasing Contact: KIMCO Realty, Amy Daniels, (516) 697-9046",POINT (-71.11504312199997 42.358138679000035)
East Cambridge,11 First Street,Cambridge,Massachusetts,02141,1553,5 years or more,Real Estate Investment Trust (REIT),Finagle a Bagel,,Actively leasing,"Linear Retail Cambridge LLC c/o Linear Retail Properties LLC, Five Burlington Woods Dr., Burlington, MA 01803","Perseid Ventures, (857) 202-3940",POINT (-71.07723386499998 42.37045689100006)
Harvard Square,30 Brattle Street,Cambridge,Massachusetts,02138,,1-2 years,Trust,Leather World,,Pop Up,"Liilian H. Hadley, Harry L. Sampson, c/o Thomas Hadley Trust 59 Hunter Lane, Lancaster, MA 01523","Regency Centers. David Sherin, (610) 747-1212",POINT (-71.12062178099995 42.373064459000034)
Central Square,738 Massachusetts Avenue,Cambridge,Massachusetts,02139,,NA,Domestic Limited Liability Company (LLC),The Cantab Lounge,true,Business for sale,"720 Mass Ave Realty, LLC, 720 Mass Ave., Cambridge, MA",,POINT (-71.10513872999998 42.36585707000006)
North Massachusetts Ave.,2226 Massachusetts Ave,Cambridge,Massachusetts,02140,,6-10 months,Trust,Fun Antiques,,Unknown,"Tavian Realty LLC, 4 Richfield Rd., Arlington, MA 02474",,POINT (-71.12643681099996 42.39374404000006)
Harvard Square,1280 Massachusetts Avenue,Cambridge,Massachusetts,02138,3307,1-2 years,Real Estate Investment Trust (REIT),Qdoba,,Actively leasing,"1280 Massachusetts Avenue Owner MA, LLC, c/o International Continental Real Estate Corp., 1270 Soldiers Field Rd., Boston, MA 02135","IRB Commercial Real Estate, 617-497-3300.",POINT (-71.11697691099994 42.372590882000054)
Harvard Square,1426 Massachusetts Avenue,Cambridge,Massachusetts,02138,4144,1-2 years,Real Estate Investment Trust (REIT),CVS,,Actively leasing,"University Common Real Estate Co. LLP c/o Century Real Estate Co, Inc. 1430 Mass Ave. 3rd floor, Cambridge, MA 02138","National Commercial Brokers, Andy White, (617) 243-0222 X5",POINT (-71.11926919399997 42.374141450000025)
Inman Square,192 Hampshire Street,Cambridge,Massachusetts,02139,1960,6-10 months,Domestic Limited Liability Company (LLC),Chan Mock Architects,,Actively leasing,"Riggins Holdings LLC, 40 Richardson Dr., Needham, MA 02492","Red Tree Boston, (617) 487-8015",POINT (-71.09994974499995 42.37278592900003)
East Cambridge,247 Cambridge Street,Cambridge,Massachusetts,02141,1200,6-10 months,Trust,Court Cleaners,,Leased pending occupancy,"William R. Daniels & Andrew Q. Oldman, Trs., c/o Broadway Landmarks, 339 Broadway, Cambridge, MA 02139","Listing Agent: Aaron Parlee, Horizon Capital Realty, Aaron Parlee, 617-661-5959",POINT (-71.08008957999994 42.371313773000054)
Central Square,571-577 Massachusetts Ave,Cambridge,Massachusetts,02139,,6-10 months,Trust,Libby's Liquors/Dosa Factory/Shalimar,,Actively leasing,"James D. Hill, Trustee, The James D. Hill Rev. Trust, 15831 White Orchid Ln., FT. Myers, FL 33908",Call Lena at 617-875-9080,POINT (-71.10242374799998 42.36501209100004)
Central Square,596 Massachusetts Avenue,Cambridge,Massachusetts,02139,,2-5 years,Real Estate Investment Trust (REIT),Mattress Firm,,Under redevelopment,"CIFRINO-Massachusetts Avenue Realty. c/o Superior Realty Co., Inc. 540 Gallivan Boulevard Dorchester, MA. 02124.","Atlantic Retail, 617-239-3636",POINT (-71.10338163099993 42.36467932900007)
Observatory Hill,171 Huron Avenue,Cambridge,Massachusetts,02138,6000,2-5 years,Real Estate Investment Trust (REIT),Coldwell Banker,,Actively leasing,"RyeCroft LLC, PO Box 590179, Newtown Centre, MA 02459","Contact Alisa King, ABG Realty, (617) 492-9900",POINT (-71.13159352499997 42.382348884000066)
Porter Sq-Lower Massachusetts Ave.,1674 Massachusetts Avenue,Cambridge,Massachusetts,02138,2469,5 years or more,Trust,Evergood Market,,Leased pending occupancy,"Stone Investment Holding, LLC, 9 Shepard Street, Cambridge, MA 02138","Dartmouth Company,  Rachel Feeley, (617) 369-5908",POINT (-71.12005273399996 42.38231703300005)
Kendall Square,205 Broadway,Cambridge,Massachusetts,02139,,1-2 years,Real Estate Investment Trust (REIT),Tatte,,Leased pending occupancy,"BMR-Hampshire LLC, c/o Ryan LLC, P.O. Box 847, Carlsbad, CA 92018",,POINT (-71.09286376799999 42.36635638000007)
East Cambridge,625 Cambridge Street,Cambridge,Massachusetts,02141,5742,6-10 months,Trust,Boston Bed Company,,Actively leasing,"Richard C. & Judith F. Silver, c/o Richard C. Silver Rev. Trust, 6876 Parisian Way, Lake Worth, FL 33467","ABG Commercial Advisors, (617) 850-2113",POINT (-71.08654171699999 42.37211705300007)
Inman Square,1248 Cambridge Street,Cambridge,Massachusetts,02139,,6-10 months,Trust,Wit’s End,,Unknown,"Onaly A. Kapasi & Chander M. Kapasi, Trs., Ony’s Comet Trust, 356 Parker Street, Newton, MA 02459",,POINT (-71.09844963599994 42.373287083000044)
Harvard Square,999 Massachusetts Avenue,Cambridge,Massachusetts,02138,,6-10 months,Domestic Profit Corporation,BoConcept,,Unknown,"Richard Simon & William C. Kaplan, Trs. c/o Eastport Real Estate Services, Wakefield, MA 01880",(781) 890-5855,POINT (-71.11130579899998 42.369591125000056)
East Cambridge,402 Cambridge Street,Cambridge,Massachusetts,02141,,6-10 months,Trust,Travel insurance agency,,Actively leasing,"Manuel M. Dasilva & Maria F. Dasilva, trs. of M & R Realty Trust, 402 Cambridge St., Cambridge, MA 02141",(617) 686-9996,POINT (-71.08287052799994 42.37120631700003)
Kendall Square,610 Main St,Cambridge,Massachusetts,02139,1984,1-2 years,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"MIT 650 Main Street, LLC, c/o Bulfinch Property Mgmt LLC, 116 Huntington Ave., Suite 600, Boston, MA 02116","leasing@graffito.cp,, (617) 401-2871",POINT (-71.09435943499994 42.36262844500004)
Fresh Pond-Alewife,211 Alewife Brook Parkway,Cambridge,Massachusetts,02138,3391,2-5 years,Real Estate Investment Trust (REIT),Mattress Firm,,Leased pending occupancy,"Linear Retail - Cambridge #1 LLC, c/o Keypoint Partners, 1 Burlington Woods Drive, Burlington, MA 01803","Linaer Retail, (781) 202-3535",POINT (-71.14361367699996 42.390056505000075)
Central Square,8 Essex Street,Cambridge,Massachusetts,02139,2820,1-2 years,Trust,New Space,,Unknown,"3MJ Associates, Inc. 563 Massachusetts Ave., Cambridge, MA 02139","Whitney Gallivan, Boston Realty Advisors, (617) 850-9612",POINT (-71.10269247099995 42.36537678700006)
Harvard Square,35 JFK Street,Cambridge,Massachusetts,02138,,6-10 months,Foreign Limited Liability Company (LLC),David’s Tea,,Unknown,"Mayhaw, LLC c/o NCP Management, P.O. Box 590179, Newton Center, MA 021459","(617) 945-0020, office@ncpmgmt.com",POINT (-71.12017410399994 42.37282653900007)
East Cambridge,293 Cambridge Street,Cambridge,Massachusetts,02141,3171,6-10 months,Individual,Courtside Bar,,Actively leasing,"John J. and Mary L. Alberts, 172 High St., Winchester, MA 01890","Eastern Retail, Joe Morrison, jmorrison@easternretail.com, (617) 630-1180",POINT (-71.08080011399994 42.37133078900007)
Inman Square,1172 Cambridge,Cambridge,Massachusetts,02139,,6-10 months,Trust,The Rising,,Actively leasing,"1174-1178 CAMBRIDGE STREET, LLC, 120 GALLOUPES POINT RD, SWAMPSCOTT, MA 01907","KPMRealtyLLC@gmail.com, 617-461-2891",POINT (-71.09699914699996 42.37305813100005)
