,Commercial District,Address,City,State,Zip Code,Square Footage,Length of Vacancy,Ownership Type,Former Tenant/Current Business,Business for Sale,Leasing Activity,Recorded Owner,Leasing Contact,long,lat,harv_dist,mit_dist,min_dist
10,Harvard Square,22 JFK Street,Cambridge,Massachusetts,2138,3308.0,5 years or more,Trust,Uno's Pizza,,Actively leasing,"Alliara, LLC 1188 Centre Street, Newton Centre, MA 02459","Dartmouth Company, Lindsey Sandell, (617) 369-5936",-71.11952970299996,42.372909771000025,0.25941413529223845,2.683914373930051,0.25941413529223845
11,Harvard Square,33 Brattle Street,Cambridge,Massachusetts,2138,,6-10 months,Real Estate Investment Trust (REIT),Flat Patties,,Leased pending occupancy,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charlotte, NC 28203",,-71.12069411699997,42.37363769800004,0.3071709744700385,2.808234977116256,0.3071709744700385
12,Porter Sq-Lower Massachusetts Ave.,1906-1908 Massachusetts Avenue,Cambridge,Massachusetts,2140,1550.0,2-5 years,Trust,Rod Dee and Wok n' Roll,,Actively leasing,"PKH Properties, LLC, P.O. Box 621 Brookline, MA 02446","PadMatch Realty, Peter Grossi, (617) 435-9457",-71.12001417699997,42.38886246100003,1.6258681278208378,3.9624813917600514,1.6258681278208378
13,Harvard Square,84 Winthrop Street,Cambridge,Massachusetts,2138,,1-2 years,Trust,Tom's Bao Bao,,Unknown,"Crimsoan Galeria Limited Partnership, c/o Raj Dhanda, 1299 Beacon Street, Brookline, MA 02446",,-71.12089234899997,42.372135367000055,0.40057862609961564,2.734397145420263,0.40057862609961564
14,Harvard Square,76A Mt. Auburn Street,Cambridge,Massachusetts,2138,,2-5 years,Nonprofit Corporation,Schoenhof's Foreign Books,,Actively leasing,"76 Mount Auburn Street, Inc. c/o Rick Childs, SRB Corp., 76 Mt. Auburn St., Cambridge, MA 02138","IRB, (617) 497-3300",-71.11868456999997,42.37192460800003,0.30447824294365095,2.566705360295347,0.30447824294365095
15,North Massachusetts Ave.,2094 Massachusetts Avenue,Cambridge,Massachusetts,2140,2000.0,6-10 months,Trust,Redemption Tattoo,,Actively leasing,"Joseph A, Francis X., Anthony J., Marian L., and Maria C. Colannino c/o Riverside Management P.O. Box 440317 W. Somerville, MA 02144",(617) 428-9993,-71.12360079399997,42.39132196300005,1.9559268593472836,4.356759925208821,1.9559268593472836
16,East Cambridge,357 Cambridge Street,Cambridge,Massachusetts,2141,,1-2 years,Trust,Legatt McCall,,Leased pending occupancy,"East Cambridge, LLC c/o Rob Hajier, 109 Ostrom Rd., East Falmouth, MA 02536",,-71.08199486999996,42.37151112500004,2.9016472934170494,1.5443515864363244,1.5443515864363244
17,North Massachusetts Ave.,2267 Massachusetts Ave,Cambridge,Massachusetts,2140,,6-10 months,Domestic Limited Liability Company (LLC),Benoit Real Estate,,Actively leasing,"GAP Cambridge Investments LLC, 20 Lantern Ln., Needham, MA 02492",617-444-8941,-71.12671341299995,42.39458097300008,2.378878868221517,4.80012938389475,2.378878868221517
18,Harvard Square,43 Brattle Street,Cambridge,Massachusetts,2138,,6-10 months,Trust,Goorin Bros. Hat Shop,,Unknown,"John P. Digiovanni, trustee of 45 Brattle Street Realty Trust, P.O. Bon 380212, Cambridge, MA 02238",(617) 902-9346,-71.12099050099994,42.373989193000064,0.3228381007882143,2.8500795631823466,0.3228381007882143
19,Porter Sq-Lower Massachusetts Ave.,1699 Massachusetts Avenue,Cambridge,Massachusetts,2138,1324.0,1-2 years,Trust,New Space,,Actively leasing,"Lotus Harvard Enterprise, LLC, 1712 Massachusetts Ave., Cambridge, MA 02138","Compass, Shannah Hall Frackum, (617) 686-9996",-71.11923415699994,42.38308297100008,0.9812873845848025,3.41634191963918,0.9812873845848025
20,Central Square,93 Windsor Street,Cambridge,Massachusetts,2139,,2-5 years,Trust,"Coffee Shop ""Brew on the Gird""""",,Leased pending occupancy,"Windsor Ninety Three LLC, 1495 Hancock Street, Quincy, MA 02169","District Real Estate Advisors. Contact: Christopher Mearn, 617-943-2272; Hana McLaren, 860-391-2017.",-71.09680921399996,42.36377747800003,2.04300701636498,0.5876351862813229,0.5876351862813229
21,Harvard Square,1210 Massachusetts Avenue,Cambridge,Massachusetts,2138,,2-5 years,Real Estate Investment Trust (REIT),Oona's,,Unknown,"Cambridge Real Estate Company, LLC P.O. 400575 Cambridge, MA 02140","Shannah Hall, (617) 686-9996, shannah@compass.com",-71.11541502699998,42.37186190800003,0.31433889109130303,2.338377199278984,0.31433889109130303
22,Central Square,114 Bishop Allen Drive,Cambridge,Massachusetts,2139,,6-10 months,Domestic Limited Liability Company (LLC),Training space,,Actively leasing,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459","CCAdvisors, 617-970-7232",-71.10317778399997,42.36607881400005,1.4711387758295182,1.1470999949805387,1.1470999949805387
23,Harvard Square,26 Brattle Street,Cambridge,Massachusetts,2138,,6-10 months,Trust,Dickson Bros. Hardware Co.,,For sale,"Edward P. Verplanck Tr. c/o Brattle Street Trust, 26 Brattle St., Cambridge, MA 02138",,-71.12041097699995,42.37313076000004,0.30642295939839964,2.7581128717447374,0.30642295939839964
24,Kendall Square,295 Third Street,Cambridge,Massachusetts,2142,,6-10 months,Real Estate Investment Trust (REIT),Barismo,,Actively leasing,"303 Third SPE LCC, P.O. Box 87407, Chicago, IL 60680","Cushman & Wakefield, (617) 204-4142",-71.08389479599998,42.36430419700009,2.9498537067349293,0.8398406209463211,0.8398406209463211
25,East Cambridge,20 Child Street,Cambridge,Massachusetts,2141,4418.0,5 years or more,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"PRII Twenty20 LLC c/o Prudential Real Estate Services, 7 Girala Farms, Madison, NJ 07940","Chris Mearn, (617) 595-544",-71.07187380599999,42.37138569000007,3.730327712844902,2.1026168643572447,2.1026168643572447
26,Inman Square,212 Hampshire Street,Cambridge,Massachusetts,2139,,2-5 years,Trust,Ryles Jazz Club,,Under redevelopment,"Shree Manakamana LLC, 620 Cambridge Street, Cambridge MA 02141","Binoj Pradhan, (617) 501-7309",-71.10050244799999,42.37321596200008,1.3697770518184702,1.6437644825988824,1.3697770518184702
27,Harvard Square,1168 Massachusetts Avenue,Cambridge,Massachusetts,2138,,6-10 months,Domestic Limited Liability Company (LLC),Unknown,,Actively leasing,"Augment Investments, LLC, 4 Trowbridge Place, Unit 2D, Cambridge, MA 02138",(617) 275-1854,-71.11484363299996,42.37136725000005,0.38480967221284396,2.2684527959164855,0.38480967221284396
28,Inman Square,1281 Cambridge Street,Cambridge,Massachusetts,2139,,6-10 months,Trust,Bukowski Tavern,,Actively leasing,"Kim H. Odence, tr. of 1281 Cambridge Realty Trust, 1281 Cambridge St., Cambridge, MA 02139-1202","Boston Restaurant Group, (978) 887-9895",-71.09877124899998,42.37368648100005,1.5077307169839431,1.6384929486655566,1.5077307169839431
29,East Cambridge,121 First Street,Cambridge,Massachusetts,2141,7000.0,2-5 years,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"Urban Spaces, LLC, 111 First Street, Cambridge, MA 02141","Adam Conviser, Conviser Property Group, 781-320-0600",-71.07811555799998,42.36684215400004,3.3110359901441595,1.390430982961878,1.390430982961878
30,Smaller Districts,699 Mt. Auburn Street,Cambridge,Massachusetts,2138,,2-5 years,Real Estate Investment Trust (REIT),Unknown,,Leased pending occupancy,"Equity One LLC, c/o Equity One, Inc., 1275 Powers Ferry. Suite 100, Marietta, GA 30067","KeyPoint Partners, Donald Mace, (781) 418-6243",-71.14918428999994,42.37536193900008,2.6377448560880925,4.998810466346882,2.6377448560880925
31,Central Square,21 Prospect Street,Cambridge,Massachusetts,2139,,1-2 years,Real Estate Investment Trust (REIT),Soleil Tan and Spa,,Leased pending occupancy,"U.S. REIF Central Plaza Massachusetts LLC c/o Intercontinental Mgmt. Corporation 1270 Soldiers Field Rd. Boston, MA 02135","Boston Urban Partners, (617) 274-4900",-71.10375714099996,42.36611535900005,1.4318305876436002,1.1876206214034521,1.1876206214034521
32,Fresh Pond-Alewife,174 Alewife Brook Parkway,Cambridge,Massachusetts,2138,5100.0,1-2 years,Real Estate Investment Trust (REIT),Panera,,Leased pending occupancy,"The Fresh Pond Mall Limited Partnership, 545 Concord Ave, Cambridge, MA 02140","Vast Capital Management, (617) 491-4431",-71.14029662299998,42.39087558500006,2.6431501149285817,5.25495818330398,2.6431501149285817
33,Smaller Districts,808 Memorial Drive,Cambridge,Massachusetts,2139,,1-2 years,Association,Lapel's Dry Cleaning,,Unknown,"808 Memorial Drive Association, 280 Franklin Street, Cambridge, MA 02139",,-71.11516030099995,42.36065157300005,1.537038441795784,1.8971031284604138,1.537038441795784
34,Central Square,425 Massachusetts Avenue,Cambridge,Massachusetts,2139,,6-10 months,Foreign Limited Liability Company (LLC),New Space,,Actively leasing,"Watermark Central Venture LLC c/o Twining Properties, 200 Park Avenue, 17th Floor, New York, NY 10166","graffitosp.com, (617) 401-2871",-71.10046053799994,42.36384143200008,1.8019569269207836,0.8208595818713587,0.8208595818713587
35,Kendall Square,145 Broadway,Cambridge,Massachusetts,2142,,6-10 months,Trust,New Space,,Actively leasing,"David Barrett, Edward H. Linde & Mortimer B. Zuckerman, trs. of Eleven  c/o Marvin F. Poer & Co. 3520 Piedmont Rd. NE, Suite 410, Atlanta, GA 30305","Boston Properties, Sydney Rodenstein, srodenstein@bxp.com",-71.08877658399996,42.36494491000008,2.553329399697541,0.6339124350271385,0.6339124350271385
36,Harvard Square,25 Brattle Street,Cambridge,Massachusetts,2138,4000.0,5 years or more,Real Estate Investment Trust (REIT),Lululemon,,Leased pending occupancy,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charolette, NC 28203","CBRE New England, (617) 912-6861",-71.12069411699997,42.37363769800004,0.3071709744700385,2.808234977116256,0.3071709744700385
37,Harvard Square,36 JFK Street,Cambridge,Massachusetts,2138,,6-10 months,Domestic Limited Partnership (LP),The Hempest,,Unknown,"Trinity Realty Limited Partnership, P.O. Box 380212, Cambridge, MA 02138",(617) 354-0835,-71.11961754599997,42.37255111000008,0.2916096533496026,2.6685805071630244,0.2916096533496026
38,Smaller Districts,86 Kirkland Street,Cambridge,Massachusetts,2138,3011.0,5 years or more,Retail Condo,Kirkland Cleaners,,Actively leasing,"Pookadoodle, LLC. c/o Patricia, Birchem, 6 Cowdy Lane, Wakefield, MA 01880","Patricia Birchem
781-789-2937
patricia@parismanagement.com",-71.10787592399998,42.37783003200008,0.8482788476472801,2.3872883755575134,0.8482788476472801
39,Harvard Square,41 Brattle Street,Cambridge,Massachusetts,2138,,6-10 months,Real Estate Investment Trust (REIT),,,Actively leasing,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charlotte, NC 28203","CBRE, (617) 912-6861",-71.12091707599996,42.37383475600007,0.31979613221977055,2.835573012491591,0.31979613221977055
40,Porter Sq-Lower Massachusetts Ave.,4 Hudson Street,Cambridge,Massachusetts,2138,2500.0,5 years or more,Trust,Rite-Way Dry Cleaners,,Actively leasing,"Nathaniel H. and ISA H. Swartz, c/o SWARTZ 1995 REVOC. Trust, 205 W. Vinegar Valley Rd. Friendsville, TN.","Roy Papalia, (617) 306-7797",-71.12010235499997,42.38210455200005,0.8914968468181613,3.382755075791093,0.8914968468181613
41,Central Square,795 Main Street,Cambridge,Massachusetts,2139,,6-10 months,Unknown,Cuchi Chuchi,,Unknown,"John A. Pappas and William B. Pappas, trustees, c/o 805 Main St. LLC, 33 Church St., Cambridge, MA",,-71.09724364799996,42.36342527100004,2.0372116293200904,0.584040566804622,0.584040566804622
42,Smaller Districts,1001 Massachusetts Avenue,Cambridge,Massachusetts,2138,,1-2 years,Trust,O2 Yoga,,Actively leasing,"Richard Simon and William C Kaplan Trustees, 997 Mass Ave Nominee Trust, c/o Eastport Real Estate Services, 107 Audubon Rd. Suite 2-301, Wakefield, MA 01880","Compass, (617)-308-7736",-71.11130579899998,42.369591125000056,0.7158863368580729,1.9170705494502387,0.7158863368580729
43,East Cambridge,966 Cambridge Street,Cambridge,Massachusetts,2141,2339.0,2-5 years,Trust,Harvard Glass,,Leased pending occupancy,"Judith N Small and Melissa Small, The Jams Family Trust, 14 Back Nine Dr. Haverhill, MA 0183","ABG Commercial Advisors, (617) 492-9900",-71.09321170099997,42.37255228300006,1.9730828383689991,1.4209275644205905,1.4209275644205905
44,Smaller Districts,156 Rindge Avenue,Cambridge,Massachusetts,2140,,1-2 years,Individual,NOCA Provisions,,Actively leasing,"Susan H. Sullivan, 29 Banks St., Somerville, MA 02144","Robert Harris, info@nocaprovisions.com",-71.13083906999998,42.39327088100004,2.3825266474074547,4.89671507967436,2.3825266474074547
45,Porter Sq-Lower Massachusetts Ave.,822 Somerville Avenue,Cambridge,Massachusetts,2138,2308.0,1-2 years,Real Estate Investment Trust (REIT),Sprint,,Actively leasing,"CPUS Porter Square, LP, P.O. Box 638, Addison, T.X. 75001","CBRE, (617) 912-6863",-71.11840610899998,42.38853925500007,1.5758692656525943,3.8577116330310663,1.5758692656525943
46,Kendall Square,249 Third Street,Cambridge,Massachusetts,2141,1369.0,6-10 months,Real Estate Investment Trust (REIT),New Space,,Actively leasing,"EQR-249 THIRD ST LLC, Two North Riverside Plaza, Suite 400, Chicago, IL 60606","Boston Realty Advisors, 617-375-7900",-71.08210266199995,42.36678356400006,2.9972075753046674,1.1303473362591774,1.1303473362591774
47,Porter Sq-Lower Massachusetts Ave.,1792 Massachusetts Ave,Cambridge,Massachusetts,2138,,6-10 months,,Joie de Vivre,,Unknown,"Goldberg Weiner Realty LLC, 1798A Mass. Ave., Cambridge, MA 02140",,-71.11961561799995,42.385968483000056,1.3028464378939555,3.6845815914860713,1.3028464378939555
48,Central Square,605 Massachusetts Ave,Cambridge,Massachusetts,2139,,6-10 months,Domestic Limited Liability Company (LLC),Supercuts,,Actively leasing,"3MJ Associates, Inc. 563 Massachusetts Ave., Cambridge, MA 02139",Call Lena at 617-875-9080,-71.10292817099997,42.36520110300006,1.549751138087405,1.073398427369859,1.073398427369859
49,East Cambridge,1036 Cambridge Street,Cambridge,Massachusetts,2141,,6-10 months,Domestic Limited Liability Company (LLC),Adoema Real Estate Services,,Actively leasing,"David Komessar, Saul Komessar, and Debra Magier tr. c/o 1030 Cambridge Street LLC, 2 Worcester St., Cambridge, MA 02139","CMS Partners, (617) 945-0009",-71.09433831199993,42.37264247300004,1.879992441362693,1.4398094766898257,1.4398094766898257
50,Harvard Square,20 University Road,Cambridge,Massachusetts,2138,,6-10 months,,Legal Sea Foods,,Unknown,"Richard L. Friedman, John L. Hall III, 20 University Rd., Cambridge MA 02138",,-71.12365083399999,42.37229915000006,0.5866503403009283,2.941214117726197,0.5866503403009283
51,Harvard Square,52 Brattle St,Cambridge,Massachusetts,2139,,6-10 months,Domestic Limited Liability Company (LLC),Tess,,Unkown,"RENMORE, LLC, 52 Brattle St., Cambridge, MA  02138",,-71.12208182499995,42.37431914700005,0.40933590369599393,2.94511352792445,0.40933590369599393
52,Harvard Square,30 JFK Street,Cambridge,Massachusetts,2138,,6-10 months,Domestic Limited Liability Company (LLC),Lush,,Unknown,"Waugh Building LLC c/o Rockmont Management Co., Inc, P.O. Box 440433, Somerville, MA 02145","(617) 776-764, info@rockmontmanagement.com",-71.11965811399995,42.37273228500004,0.28026417993830277,2.682148691096305,0.28026417993830277
53,Central Square,645 Massachusetts Ave.,Cambridge,Massachusetts,2139,,6-10 months,Domestic Limited Liability Company (LLC),,,Actively leasing,"Choice Realty LLC, 825 Beacon St., #1, Newton Centre, MA 02459","CCAdvisors, 617-970-7232",-71.10358120499995,42.36569022900006,1.4735575656112485,1.1483948582160977,1.1483948582160977
54,Harvard Square,49B Brattle St.,Cambridge,Massachusetts,2138,,6-10 months,Domestic Limited Liability Company (LLC),Smoke Shop,,Unknown,"George Wyner Realty, Brattle Street, LLC, C/o Dana Myer & Sons, Inc., 1340 Centre St. #101, Newton, MA 02459",,-71.12144371099998,42.37420913400007,0.35744955673721973,2.8946227706107317,0.35744955673721973
55,Kendall Square,303 Third Street,Cambridge,Massachusetts,2142,,6-10 months,Real Estate Investment Trust (REIT),Abigail’s,,Actively leasing,"303 Third SPE LCC c/o EQR-R.E. Tax Department, P.O. Box 87407, Chicago, IL 60680","Boston Restaurant Group, (978) 887-9895",-71.08389479599998,42.36430419700009,2.9498537067349293,0.8398406209463211,0.8398406209463211
56,Fresh Pond-Alewife,88 CambridgePark Drive,Cambridge,Massachusetts,2138,1875.0,1-2 years,Real Estate Investment Trust (REIT),New Space,,Leased pending occupancy,"88 Cambridge Park Limited Partnership, 5847 San Felipe, Suite 3600, Houston, TX 77057","The Dartmouth Company, (617) 262-6620",-71.14290004199995,42.39307709100007,2.9670660674533416,5.5771641770105616,2.9670660674533416
57,Harvard Square,33 Church Street,Cambridge,Massachusetts,2138,1366.0,1-2 years,Trust,Starbucks,,Leased pending occupancy,"Janet A. Cahaly of JAC Cambridge Nominee Trust P.O. Box 590-104 Newton Center, MA 02459","Williamson Partners, Chris Williamson, (617) 680-1108",-71.12018785,42.37453083200006,0.25407104043494433,2.829823596481892,0.25407104043494433
58,Harvard Square,1-23 JFK Street,Cambridge,Massachusetts,2138,,2-5 years,Real Estate Investment Trust (REIT),,,Under redevelopment,"Harvard Collection, LLC c/o Equity One, Inc. 410 Park Ave. Suite 1220, New York, NY 10022","Regency Centers Senior Leasing Agent: Davis Sherin, (610) 747-1212",-71.12003823299995,42.37316345000005,0.2777831270607557,2.7343109042208,0.2777831270607557
59,Porter Sq-Lower Massachusetts Ave.,1691 Massachusetts Avenue,Cambridge,Massachusetts,2138,,6-10 months,Domestic Limited Liability Company (LLC),Utso Boutique,,Unknown,"1685 Mass Ave LLC, 626 Main St. Acton MA 01720","George F Harpell, Diane Poulos Harpell, (617) 547-7031",-71.11935393499994,42.382810308000046,0.9533335677140418,3.3998984560004337,0.9533335677140418
60,Harvard Square,1033 Massachusetts Avenue,Cambridge,Massachusetts,2138,,1-2 years,University,Basics Furniture,,Actively leasing,"Harvard University, Harvard Realty, Smith Campus Center, 1350 Massachusetts Ave., Cambridge, MA 02138",Leasing contact: 617.912.6879.,-71.11208514799995,42.36988247900007,0.6496505041872019,1.9881924099997952,0.6496505041872019
61,Harvard Square,One Brattle Square,Cambridge,Massachusetts,2138,2746.0,1-2 years,Real Estate Investment Trust (REIT),Chipotle,,Leased pending occupancy,"WELLS REIT One Brattle Square, I, LLC, c/o Thompson Property Tax Services, P.O. Box 56607, Atlanta, GA 3034","Atlantic Retail, James Bagley, 617-239-3642.",-71.12128512499999,42.37331403100006,0.3643844356190285,2.829706630686305,0.3643844356190285
62,Harvard Square,104 Mt. Auburn Street,Cambridge,Massachusetts,2138,1378.0,5 years or more,Real Estate Investment Trust (REIT),Hair Cuttery,,Unknown,"Eliot Square Enterprises, Inc. 1270 Soldiers Field Rd. Brighton, MA 02135","Vantage Point Retail, Martin Benoit, (617) 877-5257",-71.12098035899999,42.372635474000056,0.37430616052698223,2.768896282161383,0.37430616052698223
63,Porter Sq-Lower Massachusetts Ave.,1776 Massachusetts Avenue,Cambridge,Massachusetts,2138,1799.0,1-2 years,Condo,Muckykids Art Studios,,For sale,"Becs, LLC, 3 Lancaster Terrace, Cambridge, MA 02140","Barrett Sotheby's Realty, info@barrettsir.com",-71.11961687499996,42.38572985000008,1.2766712181958453,3.6637289613692228,1.2766712181958453
64,Smaller Districts,750 Memorial Drive,Cambridge,Massachusetts,2139,,1-2 years,Real Estate Investment Trust (REIT),Nadeau Furniture,,Actively leasing,"New Creek LLC, c/o KIMCO Realty Corp., 333 New Hyde Park Rd., Suite 100, New Hyde Park, NY 11042","Leasing Contact: KIMCO Realty, Amy Daniels, (516) 697-9046",-71.11504312199997,42.35813867900004,1.8160556682847984,1.8941777144037177,1.8160556682847984
65,East Cambridge,11 First Street,Cambridge,Massachusetts,2141,1553.0,5 years or more,Real Estate Investment Trust (REIT),Finagle a Bagel,,Actively leasing,"Linear Retail Cambridge LLC c/o Linear Retail Properties LLC, Five Burlington Woods Dr., Burlington, MA 01803","Perseid Ventures, (857) 202-3940",-71.07723386499998,42.37045689100006,3.3041655125207083,1.7017519642887506,1.7017519642887506
66,Harvard Square,30 Brattle Street,Cambridge,Massachusetts,2138,,1-2 years,Trust,Leather World,,Pop Up,"Liilian H. Hadley, Harry L. Sampson, c/o Thomas Hadley Trust 59 Hunter Lane, Lancaster, MA 01523","Regency Centers. David Sherin, (610) 747-1212",-71.12062178099995,42.373064459000034,0.3251925687616114,2.7688003578689706,0.3251925687616114
67,Central Square,738 Massachusetts Avenue,Cambridge,Massachusetts,2139,,,Domestic Limited Liability Company (LLC),The Cantab Lounge,True,Business for sale,"720 Mass Ave Realty, LLC, 720 Mass Ave., Cambridge, MA",,-71.10513872999998,42.36585707000006,1.3667273017044643,1.2654076704217696,1.2654076704217696
68,North Massachusetts Ave.,2226 Massachusetts Ave,Cambridge,Massachusetts,2140,,6-10 months,Trust,Fun Antiques,,Unknown,"Tavian Realty LLC, 4 Richfield Rd., Arlington, MA 02474",,-71.12643681099996,42.39374404000006,2.283572745172427,4.711845784875204,2.283572745172427
69,Harvard Square,1280 Massachusetts Avenue,Cambridge,Massachusetts,2138,3307.0,1-2 years,Real Estate Investment Trust (REIT),Qdoba,,Actively leasing,"1280 Massachusetts Avenue Owner MA, LLC, c/o International Continental Real Estate Corp., 1270 Soldiers Field Rd., Boston, MA 02135","IRB Commercial Real Estate, 617-497-3300.",-71.11697691099994,42.37259088200005,0.20141870469740222,2.48998459969157,0.20141870469740222
70,Harvard Square,1426 Massachusetts Avenue,Cambridge,Massachusetts,2138,4144.0,1-2 years,Real Estate Investment Trust (REIT),CVS,,Actively leasing,"University Common Real Estate Co. LLP c/o Century Real Estate Co, Inc. 1430 Mass Ave. 3rd floor, Cambridge, MA 02138","National Commercial Brokers, Andy White, (617) 243-0222 X5",-71.11926919399997,42.374141450000025,0.18049526246440498,2.7432362821480036,0.18049526246440498
71,Inman Square,192 Hampshire Street,Cambridge,Massachusetts,2139,1960.0,6-10 months,Domestic Limited Liability Company (LLC),Chan Mock Architects,,Actively leasing,"Riggins Holdings LLC, 40 Richardson Dr., Needham, MA 02492","Red Tree Boston, (617) 487-8015",-71.09994974499995,42.37278592900003,1.4202286122918801,1.5814405807135605,1.4202286122918801
72,East Cambridge,247 Cambridge Street,Cambridge,Massachusetts,2141,1200.0,6-10 months,Trust,Court Cleaners,,Leased pending occupancy,"William R. Daniels & Andrew Q. Oldman, Trs., c/o Broadway Landmarks, 339 Broadway, Cambridge, MA 02139","Listing Agent: Aaron Parlee, Horizon Capital Realty, Aaron Parlee, 617-661-5959",-71.08008957999994,42.37131377300005,3.0596381543580335,1.6164059598911111,1.6164059598911111
73,Central Square,571-577 Massachusetts Ave,Cambridge,Massachusetts,2139,,6-10 months,Trust,Libby's Liquors/Dosa Factory/Shalimar,,Actively leasing,"James D. Hill, Trustee, The James D. Hill Rev. Trust, 15831 White Orchid Ln., FT. Myers, FL 33908",Call Lena at 617-875-9080,-71.10242374799998,42.36501209100004,1.5947973716035164,1.0273064384302917,1.0273064384302917
74,Central Square,596 Massachusetts Avenue,Cambridge,Massachusetts,2139,,2-5 years,Real Estate Investment Trust (REIT),Mattress Firm,,Under redevelopment,"CIFRINO-Massachusetts Avenue Realty. c/o Superior Realty Co., Inc. 540 Gallivan Boulevard Dorchester, MA. 02124.","Atlantic Retail, 617-239-3636",-71.10338163099993,42.36467932900007,1.561551093108565,1.0740337449975013,1.0740337449975013
75,Observatory Hill,171 Huron Avenue,Cambridge,Massachusetts,2138,6000.0,2-5 years,Real Estate Investment Trust (REIT),Coldwell Banker,,Actively leasing,"RyeCroft LLC, PO Box 590179, Newtown Centre, MA 02459","Contact Alisa King, ABG Realty, (617) 492-9900",-71.13159352499997,42.38234888400007,1.4827504221674261,4.100345281298609,1.4827504221674261
